Dataset,Source,Scraped Date,Month,Interbank Exchange Rate US Dollar (USD),Interbank Exchange Rate Pound Sterling (GBP),Interbank Exchange Rate Euro,Forex Bureau Exchange Rate US Dollar (USD),Forex Bureau Exchange Rate Pound Sterling (GBP),Forex Bureau Exchange Rate Euro
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1986M03,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1986M02,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1986M01,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M12,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M11,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M10,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M09,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M08,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M07,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M06,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M05,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M04,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M03,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M02,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1985M01,0.01,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M12,0.0,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M04,0.0,0.01,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1984M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1983M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1982M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1981M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1980M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1979M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1978M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1977M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1976M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1975M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1974M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M06,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M05,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M04,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M03,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M02,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1973M01,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1972M12,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1972M11,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1972M10,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1972M09,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1972M08,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1972M07,0.0,0.0,..,..,..,..
Ghana Exchange Rates,Ghana Statistical Service (GSS StatsBank),2026-04-20,1972M06,0.0,0.0,..,..,..,..
